Data_Venda,ID_Subcategoria,ID_Cidade,ID,Custo_UnitArio,Preco_Unitario,Quantidade,Valor_Desconto
2017-01-01,10,467,20070101811078,58.36,126.9,1,6.345
2017-01-01,10,674,20070101411348,58.36,126.9,1,25.38
2017-01-01,10,576,20070101511468,58.36,126.9,1,25.38
2017-01-01,10,688,20070101311088,58.36,126.9,1,6.345
2017-01-01,10,678,20070101511128,58.36,126.9,1,6.345
2017-01-01,10,678,20070101811128,58.36,126.9,1,6.345
2017-01-01,10,690,20070101311158,58.36,126.9,1,6.345
2017-01-01,10,576,20070101511388,58.36,126.9,1,25.38
2017-01-01,10,576,20070101411388,58.36,126.9,1,25.38
2017-01-01,10,576,20070101811388,58.36,126.9,1,25.38
2017-01-01,10,576,20070101311388,58.36,126.9,1,25.38
2017-01-01,10,590,20070101811338,58.36,126.9,1,25.38
2017-01-01,10,590,20070101511338,58.36,126.9,1,25.38
2017-01-01,10,590,20070101311338,58.36,126.9,1,25.38
2017-01-01,6,554,20070101111028,13.1,25.69,1,3.8535
2017-01-01,6,688,20070101812018,13.1,25.69,1,1.2845
2017-01-01,6,527,20070101711538,13.1,25.69,1,1.2845
2017-01-01,6,512,20070101611968,13.1,25.69,1,3.8535
2017-01-01,6,506,20070101612328,13.1,25.69,1,5.138
2017-01-01,6,588,20070101411238,13.1,25.69,1,5.138
2017-01-01,6,702,20070101713558,13.1,25.69,1,5.138
2017-01-01,19,425,200701013CS425,55.57,109.0,5,81.75
2017-01-01,11,425,200701012CS425,294.54,889.0,1,133.35
2017-01-01,10,502,20070101312028,58.36,126.9,1,6.345
2017-01-01,1,506,20070101612328,30.58,59.99,1,11.998
2017-01-01,6,688,20070101311088,13.1,25.69,1,1.2845
2017-01-01,6,633,20070101711208,13.1,25.69,1,1.2845
2017-01-01,6,677,20070101313718,13.1,25.69,1,1.2845
2017-01-01,13,425,200701012CS425,157.54,309.0,9,417.15
2017-01-01,13,425,200701012CS425,111.65,219.0,2,65.7
2017-01-01,13,425,200701012CS425,229.47,499.0,14,1047.9
2017-01-01,17,425,200701013CS425,117.21,229.9,10,344.85
2017-01-01,20,425,200701013CS425,73.12,159.0,17,405.45
2017-01-01,4,425,200701011CS425,76.45,149.95,6,134.955
2017-01-01,17,425,200701013CS425,188.13,369.0,24,1328.4
2017-01-01,15,425,200701013CS425,430.38,1299.0,8,1558.8
2017-01-01,15,425,200701013CS425,348.58,758.0,15,1705.5
2017-01-01,15,425,200701013CS425,348.58,758.0,14,1591.8
2017-01-01,15,425,200701013CS425,195.24,382.95,9,516.9825
2017-01-01,1,688,20070101311088,30.58,59.99,1,2.9995
2017-01-01,15,425,200701013CS425,187.62,368.0,9,496.8
2017-01-01,15,425,200701013CS425,195.24,382.95,9,516.9825
2017-01-01,9,576,20070101811388,216.12,469.97,1,93.994
2017-01-01,9,576,20070101311388,216.12,469.97,1,93.994
2017-01-01,9,425,200701018CS425,216.12,469.97,1,70.4955
2017-01-01,9,590,20070101811338,216.12,469.97,1,93.994
2017-01-01,10,674,20070101511418,58.36,126.9,1,25.38
2017-01-01,10,425,200701013CS425,58.36,126.9,1,19.035
2017-01-01,10,425,200701018CS425,58.36,126.9,1,19.035
2017-01-01,20,425,200701013CS425,77.72,169.0,6,152.1
2017-01-01,20,425,200701013CS425,78.19,236.0,9,318.6
2017-01-01,20,425,200701013CS425,40.28,79.0,5,59.25
2017-01-01,18,425,200701013CS425,24.98,49.0,8,58.8
2017-01-01,9,425,200701013CS425,216.12,469.97,1,70.4955
2017-01-01,18,425,200701013CS425,50.47,99.0,4,59.4
2017-01-01,18,425,200701013CS425,65.77,129.0,4,77.4
2017-01-01,1,610,20070101511087,30.58,59.99,1,2.9995
2017-01-01,6,467,20070101811037,13.1,25.69,1,1.2845
2017-01-01,6,495,20070101211167,13.1,25.69,1,1.2845
2017-01-01,1,706,20070101711907,30.58,59.99,1,8.9985
2017-01-01,1,467,20070101811037,30.58,59.99,1,2.9995
2017-01-01,1,610,20070101811087,30.58,59.99,1,2.9995
2017-01-01,6,706,20070101711907,13.1,25.69,1,3.8535
