ID,Data_Venda,ID_Subcategoria,Categoria,Valor_Final,Continente
20070101811078,2017-01-01,10,TV and Video,120.555,North America
20070101411348,2017-01-01,10,TV and Video,101.52000000000001,Europe
20070101511468,2017-01-01,10,TV and Video,101.52000000000001,Europe
20070101311088,2017-01-01,10,TV and Video,120.555,North America
20070101511128,2017-01-01,10,TV and Video,120.555,North America
20070101811128,2017-01-01,10,TV and Video,120.555,North America
20070101311158,2017-01-01,10,TV and Video,120.555,North America
20070101511388,2017-01-01,10,TV and Video,101.52000000000001,Europe
20070101411388,2017-01-01,10,TV and Video,101.52000000000001,Europe
20070101811388,2017-01-01,10,TV and Video,101.52000000000001,Europe
20070101311388,2017-01-01,10,TV and Video,101.52000000000001,Europe
20070101811338,2017-01-01,10,TV and Video,101.52000000000001,Europe
20070101511338,2017-01-01,10,TV and Video,101.52000000000001,Europe
20070101311338,2017-01-01,10,TV and Video,101.52000000000001,Europe
20070101111028,2017-01-01,6,Audio,21.8365,Asia
20070101812018,2017-01-01,6,Audio,24.4055,North America
20070101711538,2017-01-01,6,Audio,24.4055,North America
20070101611968,2017-01-01,6,Audio,21.8365,Asia
20070101612328,2017-01-01,6,Audio,20.552,Europe
20070101411238,2017-01-01,6,Audio,20.552,Europe
20070101713558,2017-01-01,6,Audio,20.552,Europe
200701013CS425,2017-01-01,19,Computers,463.25,Asia
200701012CS425,2017-01-01,11,TV and Video,755.65,Asia
20070101312028,2017-01-01,10,TV and Video,120.555,North America
20070101612328,2017-01-01,1,Audio,47.992000000000004,Europe
20070101311088,2017-01-01,6,Audio,24.4055,North America
20070101711208,2017-01-01,6,Audio,24.4055,North America
20070101313718,2017-01-01,6,Audio,24.4055,North America
200701012CS425,2017-01-01,13,TV and Video,2363.85,Asia
200701012CS425,2017-01-01,13,TV and Video,372.3,Asia
200701012CS425,2017-01-01,13,TV and Video,5938.1,Asia
200701013CS425,2017-01-01,17,Computers,1954.15,Asia
